"","symbol"
"1222","EFNA1"
"1223","IFI16"
"1224","KNL1"
"1225","COL12A1"
"1226","KLF5"
"1227","HMGN2"
"1228","SAE1"
"1229","PIK3CB"
"1230","MYBL1"
"1231","FAXDC2"
"1232","SPTLC3"
"1233","CCNA2"
"1234","STK40"
"1235","PPP2R5E"
"1236","GUCA1B"
"1237","RNF144A"
"1238","WASH2P"
"1239","MRPL38"
"1240","CD2BP2"
"1241","LOC100129484"
"1242","UNC13B"
"1243","PARD3B"
"1244","PCYT2"
"1245","EID2B"
"1246","MYO5A"
"1247","C7orf50"
"1248","C12orf57"
"1249","NNT"
"1250","FAT1"
"1251","FITM2"
"1252","CYFIP1"
"1253","FAM189A1"
"1254","SHANK2"
"1255","TMCO3"
"1256","CEP41"
"1257","HERC2"
"1258","MOK"
"1259","SDE2"
"1260","DNAJC15"
"1261","IFT80"
"1262","RABGGTA"
"1263","FAM111B"
"1264","CHST9"
"1265","PRC1-AS1"
"1266","B4GALNT3"
"1267","HNRNPA1"
"1268","TANGO6"
"1269","AMBRA1"
"1270","B3GLCT"
"1271","SEPTIN10"
"1272","UBE2R2"
"1273","KPNB1"
"1274","DHRS7"
"1275","NSMCE2"
"1276","SCARA3"
"1277","SDCBP"
"1278","KAT2A"
"1279","ZNF692"
"1280","UST"
"1281","SAC3D1"
"1282","SMARCA2"
"1283","CEL"
"1284","TRPS1"
"1285","PROS1"
"1286","CBX5"
"1287","AIF1L"
"1288","TLCD4"
"1289","FANCI"
"1290","KIFAP3"
"1291","HERC1"
"1292","PPP2R5C"
"1293","BYSL"
"1294","RAD18"
"1295","GET4"
"1296","HEXIM1"
"1297","ATP6AP2"
"1298","MSH6"
"1299","CITED2"
"1300","PRKCA"
"1301","DDIT3"
"1302","TRMT1"
"1303","ST3GAL5"
"1304","MAOB"
"1305","NOM1"
"1306","PIEZO2"
"1307","TM4SF1"
"1308","GNA12"
"1309","PAK1"
"1310","SPAG9"
"1311","MLLT3"
"1312","TRRAP"
"1313","WSB1"
"1314","MICA"
"1315","DDN"
"1316","VGLL4"
"1317","COL4A4"
"1318","CSRNP1"
"1319","SNAI2"
"1320","DLL4"
"1321","C16orf91"
"1322","PITPNM3"
"1323","GJB1"
"1324","SCD"
"1325","LIG4"
"1326","DUT"
"1327","MAPK12"
"1328","RAB31"
"1329","RAD51"
"1330","ZNF654"
"1331","HNRNPR"
"1332","SSBP3"
"1333","FADS3"
"1334","RNF25"
